"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C6,C7,C8,C9,C10,C11,C13,C15","11","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C5","2","33pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12,C14","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16","1","100pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","1N4148WT","","","","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D3","1","1N4002","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D4","1","BZV55C6V2","","","","Diode_SMD:D_MiniMELF","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf"
"IC1","1","LM1117","","","","Footprints:LM1117",""
"J1","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","1","Conn_01x01","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J3,J4,J5,J6","4","Con_1x2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J7,J8","2","Conn_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal","~"
"J9","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J10,J11","2","Con_1x2","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"J12","1","Con_ICSP","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","http://ww1.microchip.com/downloads/en/devicedoc/30277d.pdf"
"K1,K2","2","RT314012","","","","Footprints:RT314012",""
"Q1,Q2","2","2N2222","","","","Footprints:2N2222",""
"R1,R2,R8,R9","4","4.7K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","300","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5","2","3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7","2","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10,R11,R12,R13,R15,R16","6","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","0","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R17","1","60","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2,SW3,SW4","4","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","~"
"U1","1","PIC18F258-I_SO","","","","Footprints:PIC18F258",""
"U2","1","HDC2010YPAR","","","","Footprints:HDC2010YPAR",""
"U3,U4","2","LT1716IS5TRMPBF","","","","Footprints:LT1716",""
"U5","1","TXS0108EPW","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","www.ti.com/lit/ds/symlink/txs0108e.pdf"
"U6,U7","2","DRV8871DDA","","","","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8871.pdf"
"U8","1","MCP2551-I-P","","","","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf"
"X1,X2","2","DB9","","","","Footprints:DB9",""
"Y1","1","Crystal","","","","Crystal:Crystal_HC49-U_Vertical","~"
